LOCATION,DATE,Interest_Rate
PRT,4/30/22,2.32
PRT,7/31/22,2.93
PRT,10/31/22,4.26
PRT,1/31/23,4.91
PRT,4/30/23,5.55
PRT,7/31/23,6.48
SVN,1/31/19,2.84
SVN,4/30/19,2.74
SVN,7/31/19,2.55
SVN,10/31/19,2.59
SVN,1/31/20,2.95
SVN,4/30/20,3.22
SVN,7/31/20,2.65
SVN,10/31/20,2.77
SVN,1/31/21,2.62
SVN,4/30/21,2.43
SVN,7/31/21,2.36
SVN,10/31/21,2.14
SVN,1/31/22,2.32
SVN,4/30/22,2.17
SVN,7/31/22,2.24
SVN,10/31/22,3.5
SVN,1/31/23,4.34
SVN,4/30/23,4.48
SVN,7/31/23,5.13
