LOCATION,TIME,COMPEMPLOYEEACTY
CHE,2019,60.28448175
CHE,2020,61.23819947
CHE,2021,60.02022663
CHE,2022,60.12115076
NLD,1995,55.29548173
NLD,1996,55.21526582
NLD,1997,54.53141942
NLD,1998,54.75806565
NLD,1999,55.74624424
NLD,2000,55.85833547
NLD,2001,55.54497128
NLD,2002,55.99115956
NLD,2003,56.22459748
NLD,2004,55.35467161
NLD,2005,54.0881655
NLD,2006,52.75401183
NLD,2007,52.56459218
NLD,2008,53.18342217
NLD,2009,55.63156535
NLD,2010,54.2796197
NLD,2011,54.53628533
NLD,2012,54.86332744
NLD,2013,54.50245002
NLD,2014,54.25899533
NLD,2015,53.19722632
NLD,2016,53.6504606
NLD,2017,53.33073344
NLD,2018,53.39632012
NLD,2019,53.6400629
NLD,2020,56.7529748
NLD,2021,54.14430269
NLD,2022,52.53273133
ISR,1995,49.70292674
ISR,1996,50.94041823
ISR,1997,50.93521603
ISR,1998,50.60764049
ISR,1999,50.6759628
ISR,2000,50.13325218
ISR,2001,51.40021053
ISR,2002,50.04689637
ISR,2003,48.69001033
ISR,2004,47.66224126
ISR,2005,47.79792398
ISR,2006,48.2865137
ISR,2007,48.54888562
ISR,2008,49.457142
ISR,2009,47.47465661
ISR,2010,47.7760816
ISR,2011,47.77080039
ISR,2012,47.52740733
ISR,2013,47.31184405
ISR,2014,47.53134663
ISR,2015,47.60423941
ISR,2016,48.24221713
ISR,2017,48.93132084
ISR,2018,49.47312641
ISR,2019,48.72062693
ISR,2020,48.53071098
ISR,2021,47.67420544
BRA,2000,45.56745966
BRA,2001,46.45579993
BRA,2002,45.60722717
BRA,2003,44.98159251
BRA,2004,45.13767698
BRA,2005,46.21714546
BRA,2006,47.00570828
BRA,2007,47.18863284
BRA,2008,48.01273292
BRA,2009,49.58915051
BRA,2010,48.99389616
BRA,2011,49.6384991
BRA,2012,50.28636439
BRA,2013,50.63316907
BRA,2014,50.58322042
BRA,2015,51.8275173
BRA,2016,51.70715939
BRA,2017,51.50956847
BRA,2018,50.83508147
BRA,2019,50.61884467
BRA,2020,48.40596658
LVA,1995,46.25005823
LVA,1996,50.02003587
LVA,1997,48.29945086
LVA,1998,47.3842844
LVA,1999,47.96648148
LVA,2000,46.17484934
LVA,2001,44.65606863
LVA,2002,42.42118943
LVA,2003,42.77062749
LVA,2004,42.48399201
LVA,2005,45.07029687
LVA,2006,46.45597408
LVA,2007,49.48338443
LVA,2008,53.2046305
LVA,2009,51.6874646
LVA,2010,47.90134848
LVA,2011,45.93753598
LVA,2012,45.11045129
LVA,2013,47.16362715
LVA,2014,48.52957322
LVA,2015,50.40256493
LVA,2016,52.37132842
